CODE BARRE;ARTICLE;CODE;DESIGNATION_2;CODE_SELECTION;LOT;QTE;super Gros;demi gros;pharmacien;PPA;PRIX_SOLDE;PRIX_MIN;LABORATOIRE;fournisseur;ZONE;POIDS;CBM;CONDITIONNEMENT;QTE_STOCK_ALERTE;DATE_DERNIER_ACHAT;DATE_DERNIERE_VENTE;ART_FAMILLE_FR;OK_BLOQUE_VENTE;N°ARTICLE;N°LOT;
000754;STICK SABRINEL MAUVE 50ML;STSA0007;COLIS 12 PCS;          ;          ;0;193.77;197.42;204.74;0;182.8;188.28;;26;Z5-B1;0.1;0.01;;0;08/10/2024;06/01/2025;COSMETIC            ;N;2947;3030;
;CRM HYDROQUINONE  4%  13G;HYDR0009;BALSAMINE;          ;          ;0;1060.02;1080.02;1100.02;1320.03;1000.02;1030.02;;13;Z6-A9;0.1;0.01;;0;30/08/2023;06/07/2024;DERMATOLOGIE        ;N;2948;3031;
;CRM HYDROQINONE 5%  13G;HYDR0010;BALSAMINE;          ;          ;5;1060;1080;1100;1320;1000;1030;;13;Z6-A9;0.1;0.01;;0;03/12/2024;22/12/2024;DERMATOLOGIE        ;N;2949;3032;
;CRM HYDROQINONE 8%  13G;HYDR0011;BALSAMINE;          ;          ;12;1060;1080;1100;1320;1000;1030;;13;Z6-A9;0.1;0.01;;0;03/12/2024;27/11/2023;DERMATOLOGIE        ;N;2950;3033;
;CRM TRETINOINE 0.05%   VIT A;TRET0001;BALSAMINE;          ;          ;8;689;702;715;858;650;669.5;;13;Z6-A9;0.1;0.01;;0;10/12/2024;02/01/2025;DERMATOLOGIE        ;N;2951;3034;
;CRM TRETINOINE 0.1%  VIT A;TRET0002;;          ;          ;0;689;702;715;0;650;669.5;;13;Z6-C8;0.1;0.01;;0;10/12/2024;19/02/2025;DERMATOLOGIE        ;N;2952;3035;
;EDC BEBE BALSAMINE 300 ML;ECBA0001;;          ;          ;12;178.12;181.48;184.84;0;168.04;173.08;;13;Z7-D7;0.1;0.01;;0;05/07/2023;10/02/2025;BEBE                ;N;2953;3036;
;LDT BEBE BALSAMINE 300 ML;LTBA0001;;          ;          ;0;166.44;169.58;172.72;207.27;157.02;161.73;;13;Z1-B7;0.1;0.01;;0;05/07/2023;26/10/2023;BEBE                ;N;2954;3037;
;SHP BEBE BALSAMINE 300ML;SHBA0003;;          ;          ;0;155.08;158;160.93;193.12;146.3;150.69;;13;Z5;0.1;0.01;;0;05/07/2023;16/11/2023;BEBE                ;N;2955;3038;
;TUBE A ESSAI EN VERRE BOUCHON METAL;TUBE0001;;          ;          ;16;65.03;67.44;69.24;0;60.21;62.02;;CF01;Z6-C8;0.1;0.01;;0;08/07/2023;13/11/2024;PARA MEDICALE       ;N;2956;3039;
;GUEPARD SABOT HOMME BLANC FERME   P 41;SABO0010;;          ;          ;0;1060;1080;1100;0;1000;1030;;CF01;SR;0.1;0.01;;0;08/07/2023;05/06/2024;ORTHOPEDIE          ;N;2957;3040;
;BAND JERSEY 5M (05-07);BAJE0001;;          ;          ;0;111.3;115.5;126;0;105;108.15;;CF01;Z3-E3;0.1;0.01;;0;08/07/2023;18/01/2024;ORTHOPEDIE          ;N;2958;3041;
;BAND JERSEY 5M (20-25-30);BAJE0002;;          ;          ;0;388.8;396;400;0;360;370.8;;CF01;Z3-E3;0.1;0.01;;0;08/07/2023;17/12/2024;ORTHOPEDIE          ;N;2959;3042;
GS_8.0;GANT STERIL T  8       BT / 50;GAST0004;;          ;;24;84.35;86.76;90;0;81.13;82.74;;CF01-22-104;Z7-B2;0.1;0.01;;0;21/04/2024;03/02/2025;PARA MEDICALE       ;N;2960;3043;
;# COUCHE MOLFIX VALISE N°02  SCT/40;COMO0009;;          ;          ;0;850.75;854.9;859.05;0;830;846.6;;3-;Z5;0.1;0.01;;0;10/07/2023;05/11/2023;BEBE                ;N;2961;3044;
;# COUCHE MOLFIX VALISE N°04  SCT/40;COMO0010;;          ;          ;0;1035.25;1040.3;1045.35;1333.2;1010;1030.2;;3;Z5;0.1;0.01;;0;10/07/2023;13/11/2023;BEBE                ;N;2962;3045;
000864;AEROSOL ROSSMAX PROF ADULT/ENFANT NB500;AERO0007;;          ;          ;2;8045.4;8197.2;8349;0;7590;7817.7;;28;Z7-B1;0.1;0.01;;0;26/09/2024;04/03/2024;PARA MEDICALE       ;N;2963;3046;
;MP AIGUILLE N°05 STERIFINE BT/100;INSU0007;;          ;          ;0;1440.03;1467.18;1520.39;0;1358.58;1399.3;;28-94-29-22;Z3-F2;0.1;0.01;;0;23/05/2024;08/07/2024;PARA PHRMACIE       ;N;2964;3047;
205905;BD AIGUILLE N°05 MICROFINE PLUS BT/100;INSU0011;;          ;          ;0;1602.72;1632.96;1663.2;0;1512;1557.36;;16;Z3-D2;0.1;0.01;;0;08/01/2024;12/05/2024;PARA PHRMACIE       ;N;2965;3048;
900033;CRM PIEDS BIO-BRAO TUBE 50G;CRPI0003;;          ;;0;320.36;326.41;332.45;398.94;302.23;311.3;;28;Z6-C3;0.1;0.01;;0;15/07/2024;12/08/2024;DERMATOLOGIE        ;N;2966;3049;
;MP AIGUILLE N°04 STERIFINE BT100;INSU0006;;          ;          ;0;1261.4;1330;1440.02;0;1190;1225.7;;28-94;Z3-F2;0.1;0.01;;0;14/01/2024;08/07/2024;PARA PHRMACIE       ;N;2967;3050;
000298;NUTRIGEST + GROSSESSE    BT / 30 CP;NUTR0002;;          ;;12;786.97;801.81;816.66;980;742.42;764.69;;28-1-95-16;Z3-B4;0.1;0.01;;0;17/11/2024;26/12/2024;COMPLEMENT ALLIMENTA;N;2968;3051;
;AEROSOL OMRON C803;AEOM0002;USAGE PERSONNEL;          ;          ;0;5382.3;5536.08;5741.12;0;5177.26;5279.78;;28-1-16;SR;0.1;0.01;;0;19/01/2025;03/02/2025;APPARIAGE           ;N;2970;3053;
000337;VIT C LDM   A/CROQ 500 MG 50 % UG;VITC0007;;          ;          ;0;449.7;458.19;466.67;560.01;424.25;436.98;;29;Z3-L6;0.1;0.01;;0;13/07/2023;04/09/2023;COMPLEMENT ALLIMENTA;N;2971;3054;
009559;AEROSOL PIC AIR FAMILY;AEPI0001;;          ;          ;0;7779.62;7926.4;8073.19;9687.82;7339.26;7559.44;;29;SR;0.1;0.01;;0;18/01/2024;21/01/2024;PARA MEDICALE       ;N;2972;3055;
000503;ATTELLE POUCE PANARTHRO;APPA0001;;          ;          ;0;489.52;498.75;507.99;0;461.81;475.66;;28;Z1-C5;0.1;0.01;;0;15/07/2023;01/01/2024;ORTHOPEDIE          ;N;2973;3056;
003431;FLUID ROSELIANE URIAGE;ROSE0001;;          ;          ;0;1323.36;1348.33;1373.29;1647.95;1248.45;1285.9;;28;Z6-C1;0.1;0.01;;0;15/07/2023;27/12/2023;DERMATOLOGIE        ;N;2974;3057;
373527;PAIN ATODERM SURGRAS INTENSIVE;PAAT0001;BIODERMA SURGRS;          ;;0;1323.36;1348.33;1373.29;1647.95;1248.45;1285.9;;28;Z6-B1;0.1;0.01;;0;02/09/2023;18/12/2023;DERMATOLOGIE        ;N;2975;3058;
340111;OPTI ZINC 30MG  BT /20 CP;ZINC0003;LDM;          ;;3;963.64;981.82;1000;1200;909.09;936.36;;28-29;Z3-E5;0.1;0.01;;0;13/08/2024;28/01/2025;COMPLEMENT ALLIMENTA;N;2976;3059;
080170;LDT BEBE NOYE 420 ML;LTNO0002;;          ;          ;21;302.1;307.8;327.75;0;285;293.55;;28;Z5-A5;0.1;0.01;;0;18/07/2023;03/02/2025;BEBE                ;N;2977;3060;
;CEINTURE LOMBAIRE PANARTHRO  T  XXL;CLPA0005;;          ;          ;0;2238.98;2281.23;2365.72;0;2112.25;2175.62;;28-16;Z1-C6;0.1;0.01;;0;30/03/2024;17/04/2024;ORTHOPEDIE          ;N;2978;3061;
;CEINTURE LOMBAIRE PANARTHRO  T  XXXL;CLPA0006;;          ;          ;0;2051.71;2090.43;2167.85;0;1935.58;1993.65;;28;SR;0.1;0.01;;0;17/08/2023;28/08/2023;ORTHOPEDIE          ;N;2979;3062;
000194;VIT C MOBEN 1000 MG EFFER BT/20;VITC0008;;          ;07823     ;0;216.81;220.9;224.99;270;204.54;210.68;;26;Z4;0.1;0.01;;0;22/07/2023;08/11/2023;COMPLEMENT ALLIMENTA;N;2981;3064;
000139;POMMADE NEWBO 30 GR;POME0003;;          ;08-23     ;0;795;810;825;990;750;772.5;;29-95-28;Z6-C1;0.1;0.01;;0;10/03/2024;13/05/2024;PARA PHRMACIE       ;N;2982;3065;
090041;VITAMINE D3 SUN D3 KALOS GOUTTE 400 UI 15 ML;VITD0004;;          ;240622    ;0;1203.75;1226.46;1249.17;1499.01;1135.61;1169.68;;29;Z3-A4;0.1;0.01;;0;20/07/2023;30/04/2024;PARA PHRMACIE       ;N;2983;3066;
;TULL GRAS MEDICINA  10 * 10;TULL0003;CT/12* 05PCS;          ;;44;356.4;372.6;388.8;0;324;349.92;;28-29-20;Z3-G4;0.1;0.01;;0;06/10/2024;15/02/2025;PARA MEDICALE       ;N;2984;3067;
;GENOUILLERE  REGLABLE  PANARTHRO   T   S/M;GEPA0002;;          ;          ;0;374.97;382.05;399.99;0;353.75;364.36;;29-16;SR;0.1;0.01;;0;05/06/2024;10/06/2024;ORTHOPEDIE          ;N;2985;3068;
;GENOUILLERE  REGLABLE  PANARTHRO   T   L/XL;GEPA0003;;          ;          ;0;374.97;382.05;400;0;353.75;364.36;;29;Z1-A4;0.1;0.01;;0;20/07/2023;11/02/2024;ORTHOPEDIE          ;N;2986;3069;
002435;POMMADE APAISA CICA  15 GRM;POAP0001;;          ;012       ;26;462.54;471.27;480;600;436.36;449.45;;29;Z6-A7;0.1;0.01;;0;07/09/2023;24/06/2024;DERMATOLOGIE        ;N;2987;3070;
600193;INTIME MANAHE EQUILIBRE BT/30;MANA0004;;          ;2708,05   ;8;2174.63;2215.66;2256.69;2708.05;2051.54;2113.09;;29/01/2028;Z3-C4;0.1;0.01;;0;23/11/2024;25/11/2024;COMPLEMENT ALLIMENTA;N;2988;3867;
600193;INTIME MANAHE EQUILIBRE BT/30;MANA0004;;          ;F0947     ;0;1604.45;1634.72;1664.99;1998;1513.63;1559.04;;29/01/2028;Z3-C4;0.1;0.01;;0;17/10/2024;28/10/2024;COMPLEMENT ALLIMENTA;N;2988;3071;
010344;BIBERON COCCO VERRE DOSEUR 60 ML;BICO0001;;          ;          ;0;206.7;214.5;224.25;0;195;200.85;;28-95;ZZ10;0.1;0.01;;0;13/02/2024;04/07/2024;BEBE                ;N;2989;3072;
700247;JUVAMINE MAGNESIUM 300MG + B6 BT/30  CP;JUVA0015;;          ;2524003   ;8;963.64;981.82;1000;1200;909.09;936.36;;28-28-95-62-16;Z3-K6;0.1;0.01;;0;27/10/2024;10/02/2025;COMPLEMENT ALLIMENTA;N;2990;3073;
840075;SEL REHYDRATATION KALYSEL  FRAISE BT/10  30% UG;SERE0005;;          ;011       ;0;333.25;339.54;345.83;415;314.39;323.82;;28;Z3-A3;0.1;0.01;;0;22/07/2023;25/01/2024;COMPLEMENT ALLIMENTA;N;2991;3074;
840075;SEL REHYDRATATION KALYSEL  CITRON BT/10 30% UG;SERE0006;;          ;014       ;0;333.25;339.54;345.83;415;314.39;323.82;;28;Z3-A3;0.1;0.01;;0;22/07/2023;25/01/2024;COMPLEMENT ALLIMENTA;N;2992;3075;
840075;SEL REHYDRATATION KALYSEL  BANANE BT/10;SERE0007;;          ;012       ;0;333.25;339.54;345.83;415;314.39;323.82;;28;Z3-A3;0.1;0.01;;0;25/07/2023;14/03/2024;COMPLEMENT ALLIMENTA;N;2993;3076;
840075;SEL REHYDRATATION KALYSEL  FRAMBOISE BT/10  30% UG;SERE0008;;          ;013       ;0;333.25;339.54;345.83;415;314.39;323.82;;28;Z3-A3;0.1;0.01;;0;22/07/2023;25/01/2024;COMPLEMENT ALLIMENTA;N;2994;3077;
200243;MYRALE MYRALOSE MAG 400   A SUCER BT / 16;MAGN0009;;          ;M001      ;5;441.66;449.99;458.33;550;416.66;429.16;;28-16;Z3-B6;0.1;0.01;;0;15/10/2023;06/01/2025;COMPLEMENT ALLIMENTA;N;2995;3078;
500517;SHP DERMACTIVE ANTI CHUTE  200 ML;SHAL0003;SAOPHARM;          ;;0;699.6;712.8;759;986.7;660;679.8;;28;Z6-C7;0.1;0.01;;0;22/07/2023;05/08/2024;DERMATOLOGIE        ;N;2996;3079;
000074;APRES-SHP CALLIDERM      500 ML;ASCA0005;POMPE  AILE  / KERATINE;          ;          ;12;375.45;382.54;389.62;0;354.2;364.83;;28-D C;Z3-H8;0.1;0.01;;0;28/10/2024;31/08/2023;COSMETIC            ;N;2997;3080;
;APRES-SHP CALLIDERM SANS SULFATE ARGAN 250ML;ASCA0006;TUBE;          ;          ;0;510.71;520.34;529.98;0;481.8;496.25;;28;Z3-G8;0.1;0.01;;0;23/07/2023;21/09/2023;COSMETIC            ;N;2998;3081;
;APRES-SHP CALLIDERM SANS SULFATE KERATINE 250ML;ASCA0007;TUBE;          ;          ;0;510.71;520.34;529.98;0;481.8;496.25;;28;Z3-G8;0.1;0.01;;0;23/07/2023;12/10/2023;COSMETIC            ;N;2999;3082;
000678;APRES-SHP CALLIDERM SANS SULFATE MIEL 250ML;ASCA0008;TUBE;          ;          ;11;466.4;484;492.8;0;440;453.2;;28-D C;Z3-H7;0.1;0.01;;0;28/10/2024;08/04/2024;COSMETIC            ;N;3000;3083;
400117;MEGAMAG VITAMINE D3 GOUTTES 30 ML;VITD0008;;          ;MDE001    ;0;975.68;994.09;1012.5;1215;920.45;948.06;;26;Z3-B5;0.1;0.01;;0;20/07/2023;05/02/2024;COMPLEMENT ALLIMENTA;N;3001;3084;
;CHAISE GARDE ROBE SANS DOS MP 2897;CHGA0003;;          ;          ;3;4547.4;4633.2;4804.8;0;4290;4418.7;;28-20;ZZ11;0.1;0.01;;0;06/10/2024;08/12/2024;PARA MEDICALE       ;N;3002;3085;
;MERCRYL  300 ML;MERC0002;;          ;          ;0;296.8;302.4;308;369.6;280;288.4;;28;Z3-B8;0.1;0.01;;0;20/07/2023;23/10/2023;PARA MEDICALE       ;N;3003;3086;
911405;THERMOMETRE MEDICINA DR. SOS BT/12;THME0002;;          ;          ;0;515.41;525.14;534.86;0;486.24;500.83;;28;Z3-H1;0.1;0.01;;0;20/02/2024;07/11/2024;APPARIAGE           ;N;3004;3087;
;## SINTROM 4 MG BT 20CP       @;SINT0001;TUNIS;          ;;30;1165.98;1188;1350;0;1099.98;1132.98;;85-97;EP;0.1;0.01;;0;21/09/2024;12/02/2025;MEDICAMENT          ;N;3005;3088;
;SABO FEMME OUVERT LUX  REVE D'OR  P 40;SABO0011;;          ;          ;0;1857.44;1892.48;1980.1;0;1752.3;1804.87;;CF01;;0.1;0.01;;0;22/07/2023;24/07/2023;PARA MEDICALE       ;N;3006;3089;
360380;SHP DOUCE PLUS 200 ML CL/27;SHDO0006;;          ;2         ;78;152.33;155.15;157.98;0;142.46;148.1;;105-28-16;Z5-A5;0.1;0.01;;0;25/12/2024;27/01/2025;BEBE                ;N;3007;3090;
000685;MINOXYL PHARMAGREB  2%  60  ML;MINO0005;;          ;2005      ;3;593.23;604.42;615.61;738.74;559.65;576.44;;16;Z6-C1;0.1;0.01;;0;23/07/2023;04/11/2024;DERMATOLOGIE        ;N;3008;3091;
000814;MINOXYL PHARMAGREB  05 %  60  ML;MINO0006;;          ;5005      ;4;704.07;717.36;730.64;876.77;664.22;684.15;;16;Z6-C2;0.1;0.01;;0;23/07/2023;17/02/2025;DERMATOLOGIE        ;N;3009;3092;
/;PANSEMENT LEO PLAST  16 PCS;PALE0001;;          ;          ;0;80.56;83.6;87.4;0;76;78.28;;16;Z3-D4;0.1;0.01;;0;20/08/2023;28/01/2024;PARA MEDICALE       ;N;3010;3093;
272123;ELASTO OPTIPLASTE  2.5M X 10CM;ELOP0001;;          ;246       ;3;636;648.01;673.81;0;600.01;617.97;;1-16;ZZ10-B3;0.1;0.01;;0;10/10/2024;30/01/2025;PARA MEDICALE       ;N;3011;3094;
;OREILLER ISOBULL WAVE BT/JAUNE 58*35;ORIS0004;;          ;          ;0;2830.19;2883.59;2990.39;0;2669.99;2750.09;;1;Z3-G1;0.1;0.01;;0;08/11/2023;11/09/2024;PARA MEDICALE       ;N;3012;3095;
;CRM REPARATRICE LCA  120ML;LCA00008;;          ;          ;0;1475.11;1502.94;1592;1990;1391.61;1433.36;;28-JANV;Z6-C7;0.1;0.01;;0;23/12/2023;05/01/2025;DERMATOLOGIE        ;N;3013;3096;
000106;SCI NOSEFLUX BT /20CP;NOSE0001;;          ;006       ;1;690.61;703.64;716.67;860;651.52;671.07;;95-16;Z3-M5;0.1;0.01;;0;26/05/2024;04/02/2025;COMPLEMENT ALLIMENTA;N;3014;3097;
001140;CRM SOLAIRE BIONNEX SPF100 MAX  50ML;CRBI0008;;          ;004       ;5;1983.49;2020.92;2058.34;2470;1871.22;1927.36;;28;Z6-B4;0.1;0.01;;0;25/07/2023;;DERMATOLOGIE        ;N;3015;3098;
575922;MATELAS AIR MEDICINA MS 7592;MAME0002;                                        ;          ;          ;0;6145.88;6261.84;6435.78;7653.36;5798;5971.94;;;;0.1;0.01;;0;;29/01/2024;PARA MEDICALE       ;N;3016;3099;
;PATCH HOTLER    SAC/50 P;PAHO0001;ELECTRODES ECG;          ;          ;0;662.5;718.75;720;0;625;643.75;;67-CF01-104;;0.1;0.01;;0;21/04/2024;22/04/2024;PARA MEDICALE       ;N;3017;3100;
400018;SIROP BABY SPASMYL APPETIT 100ML;SIAP0006;;          ;BAP 001   ;0;1280.84;1305.01;1329.17;1595;1208.34;1244.59;;28-16;Z3-B7;0.1;0.01;;0;04/02/2024;05/02/2024;COMPLEMENT ALLIMENTA;N;3018;3101;
090398;ALCOOL CHIRURGICAL 01L 70° 2M;ALCH0011;;          ;;0;423.99;432.01;445;0;400;412.01;;67;Z4;0.1;0.01;;0;29/10/2023;05/03/2024;ANTI SEPTIQUE       ;N;3019;3102;
252848;PANSEMENT NEXTAID PROTECT CONFORT ND001;PANE0001;;          ;;0;127.2;129.6;134.4;0;120;123.6;;1-16;Z3-G5;0.1;0.01;;0;17/07/2024;11/11/2024;PARA PHRMACIE       ;N;3020;3103;
252848;PANSEMENT NEXTAID PROTECT ENFANT ND003;PANE0002;;          ;;0;148.41;151.21;156.8;0;140.01;144.21;;16-JANV;Z3-D4;0.1;0.01;;0;28/02/2024;30/12/2024;PARA PHRMACIE       ;N;3021;3104;
252848;PANSEMENT NEXTAID PROTECT ETANCHE ND004;PANE0003;;          ;;0;161.12;164.16;170.23;0;152.01;156.56;;1-16;Z3-E5;0.1;0.01;;0;17/07/2024;30/12/2024;PARA PHRMACIE       ;N;3022;3105;
329655;ELASTO NEXTAID 2.5M X 06CM;ELNE0003;;          ;          ;0;510.92;520.56;530.2;0;482;496.46;;16;Z9;0.1;0.01;;0;20/08/2023;21/09/2023;PARA PHRMACIE       ;N;3023;3106;
000252;ELASTO NEXTAID 2.5M X 08CM;ELNE0004;;          ;          ;0;577.7;588.6;599.5;0;545;561.35;;16;ZZ10;0.1;0.01;;0;20/08/2023;30/11/2023;PARA PHRMACIE       ;N;3024;3107;
000150;ZEIN PHARMA    VIT B-COMPLEXE FORT  BT / 30 CP;VITB0001;;          ;          ;10;1060;1080;1100;1320;1000;1030;;16-106;Z3-M5;0.1;0.01;;0;26/12/2024;19/02/2024;COMPLEMENT ALLIMENTA;N;3025;3108;
100889;PESE PE MECA CAMRY DT612  160 KG;PEME0008;;          ;          ;1;5088;5184;5280;0;4800;4944;;32;Z1-D2;0.1;0.01;;0;01/04/2024;09/12/2024;APPARIAGE           ;N;3026;3109;
100797;PESE PE MECA CAMRY DT602  130 KG;PEME0007;;          ;          ;2;4876;4968;5060;0;4600;4738;;32;Z6-F3;0.1;0.01;;0;01/04/2024;25/09/2023;APPARIAGE           ;N;3027;3110;
;BIBERON VERRE DENIZ PREMIUM 150ML SP.270;BIVE0020;;          ;          ;48;503.5;513;522.5;0;475;489.25;;8;ZZ10;0.1;0.01;;0;06/08/2023;;BEBE                ;N;3028;3111;
;BIBERON VERRE DENIZ PREMIUM 260 ML SP.272;BIVE0021;;          ;          ;48;556.5;567;577.5;0;525;540.75;;8;ZZ10;0.1;0.01;;0;06/08/2023;;BEBE                ;N;3029;3112;
;GOUPILLON DENIZ SP.312;GODE0001;;          ;          ;193;263.94;268.92;286.35;0;249;256.47;;8;ZZ10;0.1;0.01;;0;06/08/2023;17/02/2025;BEBE                ;N;3030;3113;
000306;SUCETTE DENIZ PHYSIO 100% SILICON SP.532;SUDE0005;;          ;          ;24;80.85;84.7;88.55;0;77.77;80.08;;28-16;ZZ10-C1;0.1;0.01;;0;17/12/2024;29/01/2025;BEBE                ;N;3031;3114;
000443;TIRE LAIT VERRE DENIZ PREMIUM  SP.761;TLDE0001;;10%       ;          ;16;628.95;646.92;670.28;0;604.99;616.97;DENIZ;8-28-16;ZZ10-A3;0.1;0.01;;0;21/01/2025;10/02/2025;BEBE                ;N;3032;3115;
;TIRE LAIT PLASTIQUE MANUEL SP.760;TLDE0002;;          ;          ;10;263.94;268.92;273.9;328.68;249;256.47;;8;ZZ10-C3;0.1;0.01;;0;09/01/2025;30/01/2025;BEBE                ;N;3033;3116;
002192;GOFLEX FORT  BT 30 GLS;GOFL0001;NANOCURCOMINE /COLLAGENE TYPE2/ BOSWELIA;          ;001       ;0;1438.05;1465.18;1560.15;1940;1356.65;1397.35;;CF03-28-29-95-1-16;Z3-A5;0.1;0.01;;0;09/01/2025;16/02/2025;COMPLEMENT ALLIMENTA;N;3034;3117;
002185;PEA 300 MG BT 30 GLS;PEA30001;PALMITOYLETHANOLAMINE /L-GLUTATHION - MAGNESIUM;          ;001       ;6;1682.65;1714.4;1841.4;2270;1587.41;1635.03;;CF03-28-16-95;Z3-M5;0.1;0.01;;0;18/12/2024;17/02/2025;COMPLEMENT ALLIMENTA;N;3035;3118;
272087;PANSEMENT HYDROCOLL 15 CM * 15 CM 10 PCS;HYDR0003;;          ;;0;4690.35;4824.36;4913.7;0;4511.67;4601.01;;CF03-29;Z7-B5;0.1;0.01;;0;02/11/2023;17/02/2025;PARA PHRMACIE       ;N;3036;3119;
410367;DEO REXONA INVISIBLE AQUA;DERE0008;;          ;          ;0;731.4;745.2;779.7;0;690;710.7;;33-50;Z3-I4;0.1;0.01;;0;17/07/2024;23/11/2024;COSMETIC            ;N;3037;3120;
;COLLIER CERVICAL SOUPLE SAVET T  XL;CSSA0004;;          ;          ;0;371.43;378.31;395.51;0;347.36;361.12;;15-;Z9;0.1;0.01;;0;01/08/2023;08/02/2024;ORTHOPEDIE          ;N;3038;3121;
;COLLIER CERVICAL RIGIDE SAVET   T    M;CCRS0002;;          ;          ;49;594.63;605.64;633.17;0;556.09;578.11;;15;Z9;0.1;0.01;;0;16/01/2025;14/10/2024;ORTHOPEDIE          ;N;3039;3122;
;COLLIER CERVICAL RIGIDE SAVET   T    L;CCRS0003;;          ;          ;44;594.63;605.64;633.17;0;556.09;578.11;;15;Z9;0.1;0.01;;0;16/01/2025;04/11/2024;ORTHOPEDIE          ;N;3040;3123;
002738;# AVENE CRM COLD NOURRIT 40ML;COCR0002;;          ;;5;2808;2860;2990;3432;2626;2730;;50;Z6-A6;0.1;0.01;;0;06/08/2023;23/06/2024;DERMATOLOGIE        ;N;3041;3124;
;ADAPTATEUR TENSIOMETRE RMS;ADAP0001;;          ;          ;4;742;756;770;0;700;721;;81;Z7-B2;0.1;0.01;;0;03/08/2023;08/02/2024;APPARIAGE           ;N;3042;3125;
4034390;WATT  P/BANDE RESINE 10 CM;WATT0001;;          ;          ;20;154.12;156.97;160;0;144.12;149.82;;CF01-67-22;Z3-G5;0.1;0.01;;0;29/05/2024;13/01/2025;PARA MEDICALE       ;N;3043;3126;
500025;BANDE RESINE ALTOCAST  3.6X 7.5 CM;BARE0005;;          ;          ;0;471.7;480.6;489.5;587.4;445;458.35;;CF01;Z3-G3;0.1;0.01;;0;09/08/2023;20/11/2023;PARA MEDICALE       ;N;3044;3127;
500032;BANDE RESINE ALTOCAST  3.6X 10 CM;BARE0006;;          ;          ;0;554.59;565.06;575.52;0;523.2;538.9;;CF01;Z3-G3;0.1;0.01;;0;09/08/2023;12/09/2023;PARA MEDICALE       ;N;3045;3128;
500049;BANDE RESINE ALTOCAST  3.6X 15 CM;BARE0007;;          ;          ;0;826.8;842.4;858;1029.6;780;803.4;;CF01;Z3-G3;0.1;0.01;;0;09/08/2023;18/09/2023;PARA MEDICALE       ;N;3046;3129;
186183;BAD CARIAX MEDIUM  B/12  REF-600;BDCA0001;;          ;          ;36;286.2;291.6;299.7;356.4;270;278.1;;28;Z3-J1;0.1;0.01;;0;29/10/2024;28/10/2024;COSMETIC            ;N;3047;3130;
001087;BPN VIT D3 50 000  20%UG;VITD0009;;          ;          ;0;578.16;589.06;599.97;750;545.43;561.79;;28-JANV;Z3-B7;0.1;0.01;;0;19/09/2024;06/01/2025;COMPLEMENT ALLIMENTA;N;3048;3131;
960038;VERNIS DURCISSEUR 4 EN 1 CICATRYL;VERN0002;;          ;          ;0;850.12;866.16;882.2;1058.64;802;826.06;;28;;0.1;0.01;;0;12/08/2023;13/08/2023;DERMATOLOGIE        ;N;3049;3132;
;# COUCHE MOLFIX CULLOTTE N° 05;COMO0011;;          ;          ;0;242.59;243.77;245.99;0;239.04;241.38;;3;Z5;0.1;0.01;;0;13/08/2023;23/09/2023;COUCHE              ;N;3050;3133;
580393;BAD COLGATE 360 ORIGINAL MEDIUM BT/ 12;BDCO0003;;          ;          ;0;291.5;297;308;0;275;283.25;;40-16;Z3-I1;0.1;0.01;;0;30/04/2024;05/09/2024;COSMETIC            ;N;3051;3135;
;SHP GLISS  250 ML;SHGL0001;;          ;          ;4;519.4;529.2;553.7;0;490;504.7;;50;Z3-J8;0.1;0.01;;0;14/01/2024;27/01/2025;COSMETIC            ;N;3052;3136;
365451;SHP SYOSS COLOR;SHSY0001;;          ;          ;2;795;810;825;990;750;772.5;;40;Z3-G8;0.1;0.01;;0;17/08/2023;04/09/2024;COSMETIC            ;N;3054;3138;
130035;CIRE DEPILATOIRE MIM  LIQUIDE;DEMM0001;;          ;          ;6;78.75;82.5;85;0;75;77.25;;43;SR;0.1;0.01;;0;12/12/2024;22/05/2024;COSMETIC            ;N;3055;3139;
130042/66/59/97;CIRE DEPILATOIRE MIM  DOUBLE POT;DEMM0002;;          ;          ;27;81;82.5;85;0;78;78.75;;40;Z3-J5;0.1;0.01;;0;12/12/2024;17/02/2025;COSMETIC            ;N;3056;3140;
012538;LOVILLEA EDC GEL;LOVI0001;;          ;;0;270;275;280;0;252.5;262.5;;92;Z3-J4;0.1;0.01;;0;05/09/2024;21/10/2024;COSMETIC            ;N;3057;3141;
011164;SHP VIOLA;SHVI0005;;          ;          ;5;153.7;156.6;166.75;0;145;149.35;;40;Z3-H8;0.1;0.01;;0;17/08/2023;08/01/2024;COSMETIC            ;N;3058;3142;
;CIRE DEPILATOIRE MIM BANDES FROID;DEMM0003;FRAISE /JASMINE/MIEL/CITRON;          ;          ;0;204.88;206.85;216.7;0;200.94;202.91;;40;Z3-K3;0.1;0.01;;0;19/10/2023;26/09/2024;COSMETIC            ;N;3059;3143;
300320;COTON DISQUE DEMAQUILLANT COTIFLEX;DIDE0002;ULTRA SOFT           P / 70;          ;;30;106.75;113.87;120;0;103.7;104.72;;40-16;Z5-A1;0.1;0.01;;0;02/02/2025;03/09/2024;COSMETIC            ;N;3060;3144;
